Construction,PeakHour,RouteLength,TravelTime,WaitingTime,TimeLoss,AverageSpeed,CongestionLevel
0,0,1349.92,100.0,30.0,47.83,13.4992,0.3
0,0,741.86,411.0,323.0,375.54,1.8050121654501217,0.7858880778588808
0,0,811.44,86.0,24.0,60.35,9.435348837209302,0.27906976744186046
0,0,259.08,35.0,0.0,9.25,7.402285714285714,0.0
0,0,776.07,336.0,229.0,293.28,2.309732142857143,0.6815476190476191
0,0,1095.53,214.0,43.0,138.95,5.11929906542056,0.20093457943925233
0,0,1005.13,448.0,283.0,396.02,2.24359375,0.6316964285714286
0,0,141.45,20.0,0.0,6.15,7.0725,0.0
0,0,1317.6,231.0,70.0,146.74,5.703896103896104,0.30303030303030304
0,0,1479.44,254.0,81.0,166.25,5.824566929133859,0.3188976377952756
0,0,673.87,45.0,0.0,9.13,14.97488888888889,0.0
0,0,1470.92,236.0,60.0,177.11,6.23271186440678,0.2542372881355932
0,0,344.55,44.0,8.0,18.79,7.8306818181818185,0.18181818181818182
0,0,14.31,2.0,0.0,0.08,7.155,0.0
0,0,1084.57,319.0,215.0,268.64,3.3999059561128524,0.6739811912225705
0,0,109.36,9.0,0.0,0.42,12.151111111111112,0.0
0,0,844.41,104.0,31.0,64.78,8.119326923076922,0.2980769230769231
0,0,973.05,232.0,54.0,180.11,4.194181034482758,0.23275862068965517
0,0,1454.41,245.0,47.0,164.85,5.936367346938776,0.19183673469387755
0,0,486.67,23.0,0.0,0.64,21.159565217391304,0.0
0,0,954.46,345.0,188.0,291.32,2.7665507246376815,0.5449275362318841
0,0,1552.12,121.0,0.0,31.18,12.827438016528925,0.0
0,0,299.98,36.0,0.0,7.33,8.332777777777778,0.0
0,0,1038.65,234.0,39.0,173.77,4.438675213675214,0.16666666666666666
0,0,1189.92,240.0,41.0,181.33,4.958,0.17083333333333334
0,0,191.93,21.0,0.0,5.02,9.13952380952381,0.0
0,0,927.35,206.0,82.0,159.74,4.501699029126214,0.39805825242718446
0,0,821.59,85.0,24.0,42.77,9.665764705882353,0.2823529411764706
0,0,1463.21,160.0,38.0,95.68,9.1450625,0.2375
0,0,316.17,34.0,0.0,6.74,9.299117647058823,0.0
0,0,167.04,21.0,0.0,7.45,7.954285714285714,0.0
0,0,945.81,116.0,46.0,58.21,8.15353448275862,0.39655172413793105
0,0,267.58,29.0,0.0,10.78,9.226896551724137,0.0
0,0,837.61,190.0,88.0,148.5,4.408473684210526,0.4631578947368421
0,0,620.41,98.0,4.0,57.47,6.3307142857142855,0.04081632653061224
0,0,607.39,80.0,35.0,51.22,7.592375,0.4375
0,0,452.79,45.0,0.0,13.27,10.062000000000001,0.0
0,0,722.64,42.0,0.0,6.55,17.205714285714286,0.0
0,0,678.13,50.0,0.0,5.3,13.5626,0.0
0,0,263.48,25.0,0.0,5.51,10.539200000000001,0.0
0,0,1125.19,413.0,260.0,319.57,2.7244309927360777,0.6295399515738499
0,0,732.99,468.0,325.0,427.05,1.5662179487179488,0.6944444444444444
0,0,800.45,92.0,19.0,45.3,8.70054347826087,0.20652173913043478
0,0,1143.63,234.0,87.0,158.21,4.887307692307693,0.3717948717948718
0,0,721.49,190.0,77.0,150.73,3.7973157894736844,0.4052631578947368
0,0,563.18,483.0,406.0,450.0,1.1660041407867494,0.8405797101449275
0,0,918.97,413.0,313.0,359.32,2.2251089588377724,0.7578692493946732
0,0,126.82,13.0,0.0,3.18,9.755384615384616,0.0
0,0,742.82,149.0,101.0,120.63,4.985369127516779,0.6778523489932886
0,0,365.39,32.0,0.0,6.27,11.4184375,0.0
0,0,826.32,211.0,69.0,162.53,3.9162085308056875,0.32701421800947866
0,0,1349.92,122.0,41.0,67.32,11.064918032786887,0.3360655737704918
0,0,550.27,65.0,28.0,44.64,8.465692307692308,0.4307692307692308
0,0,955.91,217.0,75.0,161.99,4.405115207373272,0.3456221198156682
0,0,307.93,17.0,0.0,0.67,18.113529411764706,0.0
0,0,380.09,36.0,0.0,9.45,10.558055555555555,0.0
0,0,244.38,21.0,0.0,3.64,11.637142857142857,0.0
0,0,1055.59,181.0,22.0,131.95,5.8319889502762425,0.12154696132596685
0,0,1149.47,240.0,63.0,179.24,4.789458333333333,0.2625
0,0,126.39,15.0,0.0,4.29,8.426,0.0
0,0,320.43,29.0,0.0,4.05,11.049310344827587,0.0
0,0,179.98,25.0,1.0,9.63,7.199199999999999,0.04
0,0,1030.58,426.0,314.0,365.95,2.419201877934272,0.7370892018779343
0,0,215.34,35.0,8.0,14.23,6.152571428571429,0.22857142857142856
0,0,963.43,532.0,340.0,477.01,1.8109586466165413,0.6390977443609023
0,0,802.64,307.0,160.0,272.89,2.6144625407166124,0.5211726384364821
0,0,796.21,600.0,395.0,526.61,1.3270166666666667,0.6583333333333333
0,0,687.32,71.0,0.0,12.18,9.680563380281692,0.0
0,0,281.97,32.0,0.0,5.69,8.8115625,0.0
0,0,374.59,45.0,1.0,14.04,8.324222222222222,0.022222222222222223
0,0,321.29,37.0,0.0,9.85,8.683513513513514,0.0
0,0,1230.45,318.0,172.0,217.55,3.8693396226415095,0.5408805031446541
0,0,610.91,149.0,13.0,113.94,4.100067114093959,0.087248322147651
0,0,455.61,199.0,83.0,179.12,2.289497487437186,0.41708542713567837
0,0,8.38,1.0,0.0,0.09,8.38,0.0
0,0,546.07,195.0,75.0,166.5,2.8003589743589745,0.38461538461538464
0,0,1079.83,231.0,100.0,164.9,4.674588744588744,0.4329004329004329
