Construction,PeakHour,RouteLength,TravelTime,WaitingTime,TimeLoss,AverageSpeed,CongestionLevel,PredictedCongestion,SuggestedStrategy,ExpectedCongestion
0,0,335.68,70.0,31.0,41.7,4.795428571428571,0.4428571428571428,0.4229351,Traffic Diversion,0.3383480787277222
0,0,1001.76,77.0,0.0,8.33,13.00987012987013,0.0,0.0008518501,No Action,0.0008518500835634768
0,0,329.17,35.0,4.0,14.24,9.404857142857145,0.1142857142857142,0.10904061,No Action,0.10904061049222946
0,0,821.73,85.0,9.0,18.55,9.667411764705882,0.1058823529411764,0.100541726,No Action,0.10054172575473785
0,0,852.19,192.0,90.0,141.78,4.438489583333333,0.46875,0.46970224,Traffic Diversion,0.37576179504394536
0,0,845.58,203.0,86.0,150.53,4.165418719211823,0.4236453201970443,0.42951706,Traffic Diversion,0.34361364841461184
0,0,1162.41,269.0,128.0,183.23,4.321226765799257,0.4758364312267658,0.46278664,Traffic Diversion,0.3702293157577515
0,0,1166.17,179.0,61.0,119.6,6.514916201117319,0.3407821229050279,0.3427869,Traffic Diversion,0.2742295265197754
0,0,1332.46,157.0,72.0,102.61,8.487006369426751,0.4585987261146497,0.4579201,Traffic Diversion,0.36633608341217044
0,0,1128.19,223.0,102.0,146.53,5.059147982062781,0.4573991031390134,0.46557897,Traffic Diversion,0.37246317863464357
0,0,141.45,19.0,0.0,4.08,7.444736842105263,0.0,0.0013223472,No Action,0.001322347205132246
0,0,177.48,23.0,0.0,4.02,7.716521739130434,0.0,0.002170723,No Action,0.002170722931623459
0,0,69.92,6.0,0.0,0.98,11.653333333333334,0.0,6.832226e-05,No Action,6.832226063124835e-05
0,0,914.15,170.0,56.0,116.74,5.37735294117647,0.3294117647058823,0.34088403,Traffic Diversion,0.2727072238922119
0,0,333.84,34.0,0.0,4.41,9.818823529411764,0.0,0.00047074098,No Action,0.0004707409825641662
0,0,784.46,68.0,3.0,14.13,11.536176470588236,0.0441176470588235,0.055058826,No Action,0.05505882576107979
0,0,837.71,61.0,0.0,7.68,13.732950819672132,0.0,0.00011972642,No Action,0.00011972642096225172
0,0,1089.46,207.0,77.0,147.69,5.263091787439614,0.3719806763285024,0.36404642,Traffic Diversion,0.2912371397018433
0,0,507.21,147.0,43.0,115.87,3.450408163265306,0.2925170068027211,0.32014737,Traffic Diversion,0.25611789226531984
0,0,1328.55,182.0,35.0,120.21,7.299725274725274,0.1923076923076923,0.19591843,No Action,0.19591842591762543
0,0,1059.05,178.0,45.0,120.63,5.949719101123595,0.2528089887640449,0.24418952,No Action,0.24418951570987701
0,0,274.8,42.0,1.0,10.5,6.542857142857143,0.0238095238095238,0.03877909,No Action,0.03877909108996391
0,0,193.14,22.0,0.0,5.17,8.77909090909091,0.0,0.00028781776,No Action,0.00028781776200048625
0,0,392.27,110.0,56.0,93.08,3.5660909090909088,0.509090909090909,0.5201161,Traffic Diversion,0.4160928726196289
0,0,738.57,169.0,113.0,142.65,4.370236686390533,0.6686390532544378,0.66427916,Diversion + Signal Optimization,0.3985674977302551
0,0,255.93,23.0,0.0,3.79,11.127391304347826,0.0,0.00025044417,No Action,0.00025044416543096304
0,0,704.73,177.0,99.0,137.84,3.981525423728814,0.559322033898305,0.55851924,Traffic Diversion,0.44681539535522463
0,0,992.28,105.0,29.0,69.44,9.450285714285714,0.2761904761904762,0.28257516,No Action,0.28257516026496887
0,0,1614.1,248.0,80.0,135.25,6.508467741935483,0.3225806451612903,0.32734066,Traffic Diversion,0.2618725299835205
0,0,995.7,185.0,92.0,130.7,5.382162162162162,0.4972972972972973,0.46975708,Traffic Diversion,0.37580566406250004
0,0,344.94,36.0,0.0,7.7,9.581666666666669,0.0,0.00030106743,No Action,0.00030106742633506656
0,0,276.55,23.0,0.0,2.73,12.02391304347826,0.0,0.00013351039,No Action,0.00013351038796827197
0,0,1003.2,166.0,62.0,101.35,6.043373493975904,0.3734939759036144,0.3776219,Traffic Diversion,0.3020975112915039
0,0,740.77,59.0,0.0,7.69,12.555423728813558,0.0,0.0055447863,No Action,0.005544786341488361
0,0,343.35,33.0,0.0,10.17,10.404545454545456,0.0,0.00047074098,No Action,0.0004707409825641662
0,0,1105.32,194.0,100.0,137.19,5.697525773195876,0.5154639175257731,0.4979691,Traffic Diversion,0.3983752727508545
0,0,915.83,125.0,64.0,88.81,7.32664,0.512,0.5032408,Traffic Diversion,0.40259265899658203
0,0,678.09,36.0,0.0,7.55,18.835833333333333,0.0,-0.00057583326,No Action,-0.0005758332554250956
0,0,458.19,57.0,7.0,17.63,8.038421052631579,0.1228070175438596,0.12248008,No Action,0.12248007953166962
0,0,1056.75,140.0,24.0,74.1,7.548214285714286,0.1714285714285714,0.18774219,No Action,0.1877421885728836
0,0,835.11,128.0,58.0,71.35,6.524296875,0.453125,0.45331958,Traffic Diversion,0.36265566349029543
0,0,1521.88,183.0,31.0,88.72,8.316284153005466,0.1693989071038251,0.17240147,No Action,0.17240147292613983
0,0,636.45,147.0,62.0,107.79,4.329591836734695,0.4217687074829932,0.4313587,Traffic Diversion,0.34508695602416994
0,0,589.46,98.0,11.0,67.62,6.014897959183674,0.1122448979591836,0.115830444,No Action,0.1158304437994957
0,0,211.89,19.0,0.0,4.35,11.152105263157894,0.0,0.00037248046,No Action,0.0003724804555531591
0,0,796.54,113.0,21.0,64.32,7.049026548672566,0.1858407079646017,0.21457537,No Action,0.2145753651857376
0,0,257.19,30.0,0.0,9.24,8.573,0.0,0.0006716513,No Action,0.0006716512725688517
0,0,675.6,227.0,141.0,181.97,2.9762114537444937,0.6211453744493393,0.6399052,Diversion + Signal Optimization,0.3839431285858154
0,0,1169.18,206.0,64.0,147.83,5.675631067961166,0.3106796116504854,0.30193347,Traffic Diversion,0.24154677391052248
0,0,297.07,32.0,0.0,7.81,9.2834375,0.0,-5.6642144e-05,No Action,-5.664214404532686e-05
0,0,379.67,32.0,0.0,1.83,11.8646875,0.0,0.00013535377,No Action,0.00013535376638174057
0,0,1091.99,175.0,33.0,124.53,6.239942857142857,0.1885714285714285,0.19538333,No Action,0.19538332521915436
0,0,365.65,37.0,0.0,6.01,9.882432432432433,0.0,0.00013535377,No Action,0.00013535376638174057
0,0,1058.38,182.0,35.0,114.93,5.815274725274726,0.1923076923076923,0.18878855,No Action,0.1887885481119156
0,0,675.28,58.0,0.0,4.99,11.642758620689657,0.0,0.0014379245,No Action,0.0014379244530573487
0,0,197.72,35.0,7.0,18.68,5.6491428571428575,0.2,0.19981052,No Action,0.19981051981449127
0,0,115.48,44.0,24.0,34.29,2.6245454545454545,0.5454545454545454,0.55455315,Traffic Diversion,0.44364252090454104
0,0,991.24,104.0,29.0,48.35,9.531153846153844,0.2788461538461538,0.28242657,No Action,0.2824265658855438
0,0,1096.6,231.0,141.0,189.99,4.747186147186147,0.6103896103896104,0.5879056,Traffic Diversion,0.4703244686126709
0,0,837.71,93.0,16.0,40.17,9.00763440860215,0.1720430107526881,0.17735586,No Action,0.17735585570335388
0,0,524.93,51.0,0.0,11.39,10.292745098039214,0.0,0.0002909979,No Action,0.0002909979084506631
0,0,955.91,184.0,39.0,132.55,5.195163043478261,0.2119565217391304,0.20533691,No Action,0.20533691346645355
0,0,890.47,52.0,0.0,9.06,17.124423076923076,0.0,-0.00019056795,No Action,-0.00019056795281358063
0,0,468.12,49.0,0.0,17.4,9.553469387755102,0.0,0.0015658787,No Action,0.0015658787451684475
0,0,414.67,39.0,0.0,7.88,10.632564102564103,0.0,-8.97307e-05,No Action,-8.973070362117141e-05
0,0,734.87,100.0,45.0,72.08,7.3487,0.45,0.44008523,Traffic Diversion,0.3520681858062744
0,0,718.82,76.0,2.0,21.48,9.458157894736845,0.0263157894736842,0.03327888,No Action,0.03327887877821922
0,0,353.65,27.0,0.0,3.13,13.098148148148148,0.0,0.00011127414,No Action,0.00011127413745271042
0,0,877.96,244.0,166.0,206.5,3.598196721311476,0.680327868852459,0.6381093,Diversion + Signal Optimization,0.3828655958175659
0,0,181.14,16.0,0.0,0.75,11.32125,0.0,4.2578526e-05,No Action,4.257852560840547e-05
0,0,259.05,20.0,0.0,3.67,12.9525,0.0,0.00025044417,No Action,0.00025044416543096304
0,0,157.93,20.0,3.0,8.46,7.8965,0.15,0.13122372,No Action,0.13122372329235077
0,0,1163.91,303.0,173.0,229.18,3.841287128712872,0.570957095709571,0.5646428,Traffic Diversion,0.45171422958374025
0,0,186.35,18.0,0.0,4.41,10.352777777777778,0.0,0.00016677058,No Action,0.0001667705801082775
0,0,1488.04,225.0,89.0,127.39,6.613511111111111,0.3955555555555555,0.39297447,Traffic Diversion,0.31437957286834717
0,0,156.34,24.0,0.0,11.76,6.514166666666667,0.0,0.004658483,No Action,0.0046584829688072205
0,0,872.19,212.0,85.0,166.76,4.1141037735849055,0.4009433962264151,0.40166554,Traffic Diversion,0.3213324308395386
0,0,738.18,69.0,6.0,27.84,10.698260869565216,0.0869565217391304,0.09362198,No Action,0.09362197667360306
0,0,397.32,30.0,0.0,4.33,13.244,0.0,-7.6410244e-05,No Action,-7.641024421900511e-05
0,0,430.91,57.0,8.0,22.68,7.559824561403509,0.1403508771929824,0.145059,No Action,0.1450590044260025
0,0,1106.24,183.0,77.0,130.11,6.045027322404372,0.4207650273224044,0.41566217,Traffic Diversion,0.33252973556518556
0,0,217.2,21.0,0.0,5.63,10.342857142857142,0.0,0.00024379318,No Action,0.0002437931834720075
0,0,721.27,179.0,95.0,147.41,4.029441340782123,0.5307262569832403,0.5489931,Traffic Diversion,0.43919448852539067
0,0,710.4,411.0,301.0,311.79,1.7284671532846714,0.732360097323601,0.7309398,Diversion + Signal Optimization,0.43856388330459595
0,0,445.41,40.0,0.0,5.03,11.13525,0.0,-6.411482e-05,No Action,-6.411482172552496e-05
0,0,1122.26,292.0,135.0,206.26,3.8433561643835614,0.4623287671232877,0.46580595,Traffic Diversion,0.37264475822448734
0,0,257.83,13.0,0.0,0.41,19.833076923076923,0.0,0.00010512582,No Action,0.00010512582230148837
0,0,1332.46,246.0,147.0,196.43,5.416504065040651,0.5975609756097561,0.5699359,Traffic Diversion,0.4559487342834473
0,0,256.78,157.0,128.0,145.2,1.6355414012738851,0.8152866242038217,0.78445387,Diversion + Signal Optimization,0.47067232131958003
0,0,829.81,76.0,17.0,32.84,10.918552631578947,0.2236842105263158,0.20688277,No Action,0.2068827748298645
0,0,213.83,16.0,0.0,2.9,13.364375,0.0,0.000108034925,No Action,0.00010803492477862164
0,0,694.21,441.0,373.0,405.32,1.5741723356009072,0.8458049886621315,0.84057504,Emergency Traffic Management,0.33623001575469974
0,0,583.14,257.0,162.0,209.88,2.2690272373540856,0.6303501945525292,0.6249351,Diversion + Signal Optimization,0.37496105432510374
0,0,1161.28,213.0,73.0,154.56,5.452018779342723,0.3427230046948357,0.3445266,Traffic Diversion,0.2756212711334229
0,0,738.82,257.0,170.0,217.22,2.874785992217899,0.6614785992217899,0.6378454,Diversion + Signal Optimization,0.38270723819732666
0,0,1097.49,289.0,176.0,237.34,3.797543252595156,0.6089965397923875,0.6230243,Diversion + Signal Optimization,0.37381457090377807
0,0,1470.92,204.0,56.0,128.25,7.210392156862746,0.2745098039215686,0.28533557,No Action,0.28533557057380676
0,0,95.7,12.0,0.0,4.55,7.975,0.0,0.00047313908,No Action,0.00047313907998614013
0,0,982.26,223.0,86.0,171.1,4.4047533632287,0.3856502242152466,0.392631,Traffic Diversion,0.3141047954559326
0,0,684.65,49.0,0.0,7.31,13.972448979591835,0.0,0.00013718632,No Action,0.00013718631817027926
0,0,784.2,346.0,260.0,312.21,2.2664739884393064,0.7514450867052023,0.7402011,Diversion + Signal Optimization,0.44412066936492917
0,0,1096.6,291.0,186.0,241.5,3.768384879725085,0.6391752577319587,0.62363726,Diversion + Signal Optimization,0.37418235540390016
0,0,397.47,36.0,0.0,4.65,11.040833333333332,0.0,-7.6410244e-05,No Action,-7.641024421900511e-05
0,0,441.54,39.0,0.0,7.98,11.321538461538465,0.0,-6.123261e-05,No Action,-6.123261118773371e-05
0,0,1232.99,243.0,80.0,175.99,5.0740329218107,0.3292181069958848,0.32739156,Traffic Diversion,0.26191325187683107
0,0,1016.93,179.0,40.0,119.58,5.681173184357542,0.2234636871508379,0.21485478,No Action,0.21485477685928345
0,0,1037.53,169.0,70.0,111.61,6.139230769230769,0.4142011834319526,0.42010778,Traffic Diversion,0.33608622550964357
0,0,1170.94,231.0,58.0,167.43,5.069004329004329,0.2510822510822511,0.2564418,No Action,0.25644180178642273
0,0,85.69,11.0,0.0,3.35,7.79,0.0,0.00056340446,No Action,0.0005634044646285474
0,0,964.27,291.0,178.0,223.81,3.3136426116838487,0.6116838487972509,0.6181963,Diversion + Signal Optimization,0.3709177851676941
0,0,897.09,289.0,188.0,231.31,3.1041176470588234,0.6505190311418685,0.6394791,Diversion + Signal Optimization,0.38368746042251584
0,0,1158.65,224.0,44.0,151.87,5.172544642857143,0.1964285714285714,0.20036791,No Action,0.20036791265010834
0,0,291.4,44.0,7.0,21.67,6.622727272727272,0.1590909090909091,0.15356544,No Action,0.1535654366016388
0,0,218.49,31.0,3.0,9.76,7.048064516129033,0.0967741935483871,0.1064075,No Action,0.10640750080347061
0,0,879.0,190.0,38.0,147.25,4.626315789473685,0.2,0.20131794,No Action,0.2013179361820221
0,0,1278.42,351.0,246.0,298.94,3.6422222222222222,0.7008547008547008,0.6528076,Diversion + Signal Optimization,0.3916845560073852
0,0,45.75,14.0,3.0,9.64,3.267857142857143,0.2142857142857142,0.21816781,No Action,0.21816781163215637
0,0,261.92,33.0,1.0,10.63,7.9369696969696975,0.0303030303030303,0.033268567,No Action,0.03326856717467308
0,0,1331.13,316.0,144.0,249.67,4.21243670886076,0.4556962025316455,0.47842166,Traffic Diversion,0.3827373266220093
